twitter_user_id,mastodon_user_id,mastodon_server_hostname
121389350,1.09284848766019E+017,mastodon.online
15084702,1.09364840716705E+017,genomic.social
76960469,1.09370669802364E+017,piaille.fr
532422339,1.09308521688878E+017,masto.ai
409168655,1.10665875839374E+017,fosstodon.org
253865251,1.09299951439102E+017,hcommons.social
15759206,1.09286995327509E+017,infosec.exchange
831311011,1.09345415917895E+017,mindly.social
22143735,1.0955750639509E+017,mastodon.world
278020887,1.1013517825185E+017,hcommons.social
9700152,1.09364368933159E+017,fireplace.cafe
1.27626167678692E+018,1.09419317529535E+017,kolektiva.social
102911449,1.08256933822991E+017,meteo.social
2217191,1.09596789503654E+017,onmasto.com
1117746529,1.09332322035462E+017,mastodonczech.cz
1042356728,1.09244905307404E+017,mastodon.social
18214010,18762,mastodon.social
17428929,1.09394897205729E+017,swiss.social
1863811460,1.09523923061317E+017,universeodon.com
1381465423,1.09291597179476E+017,fediscience.org
96135022,1.09288522604558E+017,sigmoid.social
66432490,1.09286414206967E+017,hachyderm.io
3077124617,1.09325009411518E+017,mastodon.scot
6259362,1.09381116876005E+017,mstdn.social
17775715,161204,vis.social
9201922,1.09361420437244E+017,hachyderm.io
8217872,1.09317461264461E+017,mstdn.social
9.01106730511106E+017,1.09339164712528E+017,kolektiva.social
35633645,1.10345760728799E+017,mastodon.social
26786114,1.06726537696254E+017,fosstodon.org
8.66988770117251E+017,1.09307566073396E+017,toot.bike
7301112,1.09406196548448E+017,hachyderm.io
9.48354506433024E+017,1.09367798820364E+017,zirk.us
93865392,1.09385270279388E+017,hachyderm.io
599679665,41082,mastodon.social
299090531,1.08211445947129E+017,mastodon.me.uk
6427692,1.0937896631564E+017,aus.social
46387081,159451,post.lurk.org
240596975,1.09365955312019E+017,piaille.fr
20515383,7176,mastodon.gamedev.place
1.02639917621568E+018,1.09363774403228E+017,mastodon.world
8111962,1.09401032162427E+017,techhub.social
2339242568,1.10673654506378E+017,pdx.masto.host
344988803,60260,rage.love
350921379,1.09246518631822E+017,mas.to
1650401102,1.09324194395553E+017,fediscience.org
1519854830,1.09268433435126E+017,mastodon.online
2784123889,1.09363700296737E+017,social.cologne
145030392,1.09364448468603E+017,aus.social
499967347,1.09336762222498E+017,masto.ai
442048468,323804,chaos.social
30546882,1.09301999110628E+017,twit.social
4077379402,1.09258841070007E+017,mastodon.green
7765752,1.09309300397967E+017,piaille.fr
7.27157370401345E+017,1.08639830628997E+017,mastodon.social
236523423,1.09377297495748E+017,hachyderm.io
115867318,1.09266548547281E+017,infosec.exchange
