twitter_user_id,bluesky_user_did
261515114,did:plc:fn5cqpmrj423d4tjqnyma4r6
189028749,did:plc:nrzqr6vs2thmq4moc3q7n5z5
605042583,did:plc:kgysvqx7wziylgmksqom7lx6
59166185,did:plc:fbqgmslwh6blindb5qum7ibk
1575987223,did:plc:yc3jf2itkbmun432vlbafh7k
2467643810,did:plc:2rqdguylhyduc7gnw2cam4ma
14497828,did:plc:jogvllsvcusklzvdk7mgeh66
14617227,did:plc:6nebnswa54camsv6zkrz7xr4
2622959185,did:plc:lmvsvukw2idi256cl3t7lyfg
537783075,did:plc:ag7j3aixly76ncrapvitbve5
133315811,did:plc:jwaipngz32x3qkfni2j2tqqx
17797536,did:plc:vkpeox45fjvt7lxqa5qw33yn
782502,did:plc:6kio3b67qr4axvlq43sq2vgc
17276183,did:plc:3pc6szwxpm4z5d2hagtapysg
430886729,did:plc:hlnzfzmzr6iqqhcfpglo73jd
19802836,did:plc:66ehp4ie3kgs26dyefhzcd5w
7.2103613706666E+017,did:plc:lez5uqanmqh2y43hmug7trs4
8.92060639526396E+017,did:plc:uynvnq5q3xc5w7vtkyajttoj
1703186160,did:plc:jiuxw7exuq4lmw4mcc3owodf
9362492,did:plc:4dyh43mfwzpam5zvxorhlfqs
1.25855029681851E+018,did:plc:2h6kr5nqq5exry533dolud73
612159362,did:plc:litxpd3gxw3iwlylwsie62qn
314336966,did:plc:trajzauptlhftdsopxc5m5i5
9.26236192307335E+017,did:plc:e63gp4dllijio5u7lqeanxwg
33318972,did:plc:r76n2sjemocm2lr2zmgty2xq
576270319,did:plc:k2eo47t757vmrl52hh7i6sbx
1933141,did:plc:hplqc2fhsm6ohd772hkaqen3
279470695,did:plc:dtcqa4isdjgl2wicaej3zcl3
14743120,did:plc:rpm2pvn65x4g4odffru3uxad
792401646,did:plc:5ucyldtoi3lrtyzaots3udou
7.72183251658088E+017,did:plc:sm66g47pbnin43fnatf6dpcp
5798122,did:plc:m56ceqifesvtkgdy75dydgam
182345243,did:plc:wpfeafwwpi2wfyogaeidm2j7
2185255711,did:plc:dkg4cl3wzq7lmwrnuxe6n2cy
2641568699,did:plc:cyfvbzjgogi4dqqwzm2qkyzj
2401442858,did:plc:2bpuzvvaspbfimzrt3zsxybx
49966990,did:plc:wgiqodwkxp2pru2obti36iuu
2374173942,did:plc:sbxd2fz5p2iehenk3swzh33f
23069141,did:plc:lmhif3m7lfr5tjfluhin7ppq
3882596779,did:plc:t5jc6yb6et6bi3xjlclqvxfy
16227829,did:plc:ca2tmkq5bnke4qeycy6smdg5
59327865,did:plc:woyeq2qlmwxz2ljrfzgwhmp6
381486941,did:plc:sxfrx7dkt4ec6katzogk6lfw
88336577,did:plc:accqwz74hwqhniuabjpatcrd
9.1142106843025E+017,did:plc:snatcoghweaoysgej44g4mts
1.00625903485553E+018,did:plc:s2lg73n4iheh6e6hqjsvwlt4
124271519,did:plc:ydcc4lshl4msxv3774lqr2si
3399434044,did:plc:x6ojkibnyka3o7sptbxemr4u
2208906530,did:plc:33jidrxieo7zqrusjaurso34
14789630,did:plc:yfxaffryrhgnsnyc5vkwjjbg
